Stock,Date,Open,High,Low,Close,Volume
ADANIPORTS,2013-01-31,136.2500,156.2500,126.0500,150.5500,63898609
ADANIPORTS,2012-12-31,130.3500,146.4000,129.0000,135.0000,27594941
ADANIPORTS,2012-10-31,128.1000,132.9000,118.0000,127.2500,22238862
ADANIPORTS,2012-08-31,121.5500,130.4000,105.6500,113.7500,30433915
ADANIPORTS,2012-07-31,121.4500,126.9000,110.0000,120.4500,15613752
ADANIPORTS,2012-06-29,124.0000,127.4500,112.4500,121.1500,18401376
ADANIPORTS,2012-05-31,128.9000,129.0000,109.1000,123.4500,30122749
ADANIPORTS,2012-04-30,129.4000,137.2000,124.0500,127.8000,13511919
ADANIPORTS,2012-02-29,146.5500,157.7500,135.2000,148.6500,26207033
ADANIPORTS,2011-12-30,129.7000,133.9500,117.7000,120.0500,24922646
ADANIPORTS,2011-11-30,156.0000,167.5000,115.2000,125.7500,35171233
ADANIPORTS,2011-10-31,163.6000,170.4500,146.7000,163.9500,13964684
ADANIPORTS,2011-09-30,154.0500,169.8000,142.2000,164.3500,31430267
ADANIPORTS,2011-08-30,147.5000,152.9000,130.0000,152.1000,47938435
ADANIPORTS,2011-07-29,163.0000,165.7500,135.2500,143.5500,21445049
ADANIPORTS,2011-06-30,162.1000,165.7000,141.4000,161.9500,26822273
ADANIPORTS,2011-05-31,145.4000,165.9000,126.1000,161.4500,66139519
ADANIPORTS,2011-04-29,138.0000,158.4000,137.5000,144.4500,16390921
ADANIPORTS,2011-03-31,139.2000,141.4000,110.0000,136.6500,19961538
ADANIPORTS,2011-02-28,140.0500,151.0000,120.5000,138.0000,24019550
ADANIPORTS,2011-01-31,145.5500,160.0000,134.5500,140.5500,16949683
ADANIPORTS,2010-12-31,150.2500,155.9000,133.1000,144.0500,14491227
ADANIPORTS,2010-11-30,154.2500,165.0000,114.0000,152.4000,27618123
ADANIPORTS,2010-10-29,167.7000,185.2500,150.1000,151.9000,33306187
ADANIPORTS,2010-09-30,154.0000,173.3000,151.7400,167.6500,26096225
ADANIPORTS,2010-08-31,146.8000,165.9800,145.3300,153.7300,43681880
ADANIPORTS,2010-07-30,147.6000,153.1700,142.0000,144.8300,28986830
ADANIPORTS,2010-06-30,139.4000,148.3000,130.0000,147.7000,17341500
ADANIPORTS,2010-05-31,147.8500,151.9800,125.0400,139.2900,37793685
ADANIPORTS,2010-04-30,156.9200,161.2000,146.6400,147.8000,107782830
ADANIPORTS,2010-03-31,134.0000,159.9600,132.7000,157.9200,70519805
ADANIPORTS,2010-01-29,111.0000,132.5500,105.0000,119.0400,45335925
ADANIPORTS,2009-12-31,108.2000,116.9600,107.4000,110.6900,17633385
ADANIPORTS,2009-11-30,100.0000,113.9400,94.8000,108.5700,25378555
ADANIPORTS,2009-10-30,104.3600,112.8000,93.4300,100.0300,37821875
ADANIPORTS,2009-09-30,112.7700,114.7800,103.2500,103.9700,30004740
ADANIPORTS,2009-08-31,119.8800,124.8000,104.4000,111.5000,41479420
ADANIPORTS,2009-07-31,122.0000,124.0000,98.2100,120.2700,46215045
ADANIPORTS,2009-06-30,124.9000,141.0000,114.1100,120.8200,49845745
ADANIPORTS,2009-05-29,78.4000,129.8000,72.4500,122.2400,70970620
ADANIPORTS,2009-04-30,64.6600,83.9400,64.6600,77.8000,64170570
ADANIPORTS,2009-03-31,66.6600,67.8900,58.0000,64.6600,68969395
ADANIPORTS,2009-02-27,77.9800,80.6000,66.4000,68.3300,22477815
ADANIPORTS,2009-01-30,67.3000,81.7800,63.6100,77.2300,42872400
ADANIPORTS,2008-12-31,51.4000,69.2200,50.7300,65.0600,19085160
ADANIPORTS,2008-10-31,86.7600,94.4000,64.3000,71.5800,28645050
ADANIPORTS,2008-09-30,114.9800,120.9600,78.5100,86.3300,36364326
ADANIPORTS,2008-08-29,114.0000,127.4000,110.3300,115.4500,49335540
ADANIPORTS,2008-07-31,100.0000,123.4000,77.6200,115.6000,130828810
ADANIPORTS,2008-06-30,159.1000,165.4000,97.6700,98.8300,65855890
ADANIPORTS,2008-05-30,153.2500,185.2000,136.3400,158.0800,85882560
ADANIPORTS,2008-04-30,117.0000,154.8000,114.0000,152.0300,58656820
ADANIPORTS,2008-03-31,145.0000,145.0000,93.0000,115.7500,36616109
ADANIPORTS,2008-02-29,166.3300,174.4800,131.1200,147.1300,22201100
ADANIPORTS,2008-01-31,255.8000,264.8000,132.0100,167.5300,59566023
